ingredient_id,unit_name,unit_type,is_default
66,꼬집,misc,0
66,tbsp,volume,1
66,cup,volume,1
66,tsp,volume,1
67,g,mass,1
67,ml,volume,1
67,꼬집,misc,0
67,tbsp,volume,1
67,cup,volume,1
67,tsp,volume,1
68,g,mass,1
68,ml,volume,1
68,꼬집,misc,0
68,tbsp,volume,1
68,cup,volume,1
68,tsp,volume,1
69,g,mass,1
69,ml,volume,1
69,꼬집,misc,0
69,tbsp,volume,1
69,cup,volume,1
69,tsp,volume,1
70,g,mass,1
70,ml,volume,1
70,꼬집,misc,0
70,tbsp,volume,1
70,cup,volume,1
70,tsp,volume,1
71,g,mass,1
71,ml,volume,1
71,꼬집,misc,0
71,tbsp,volume,1
71,cup,volume,1
71,tsp,volume,1
72,g,mass,1
72,ml,volume,1
72,꼬집,misc,0
72,tbsp,volume,1
72,cup,volume,1
72,tsp,volume,1
73,g,mass,1
73,ml,volume,1
73,꼬집,misc,0
73,tbsp,volume,1
73,cup,volume,1
73,tsp,volume,1
74,g,mass,1
74,ml,volume,1
74,꼬집,misc,0
74,tbsp,volume,1
74,cup,volume,1
74,tsp,volume,1
75,g,mass,1
75,ml,volume,1
75,꼬집,misc,0
75,tbsp,volume,1
75,cup,volume,1
75,tsp,volume,1
76,g,mass,1
76,ml,volume,1
76,꼬집,misc,0
76,tbsp,volume,1
76,cup,volume,1
76,tsp,volume,1
77,g,mass,1
77,ml,volume,1
77,꼬집,misc,0
77,tbsp,volume,1
77,cup,volume,1
77,tsp,volume,1
78,g,mass,1
78,ml,volume,1
78,꼬집,misc,0
78,tbsp,volume,1
78,cup,volume,1
78,tsp,volume,1
79,g,mass,1
79,ml,volume,1
79,꼬집,misc,0
79,tbsp,volume,1
79,cup,volume,1
79,tsp,volume,1
80,g,mass,1
80,ml,volume,1
80,꼬집,misc,0
80,tbsp,volume,1
80,cup,volume,1
80,tsp,volume,1
81,g,mass,1
81,ml,volume,1
81,꼬집,misc,0
81,tbsp,volume,1
81,cup,volume,1
81,tsp,volume,1
82,g,mass,1
82,ml,volume,1
82,꼬집,misc,0
82,tbsp,volume,1
82,cup,volume,1
82,tsp,volume,1
83,g,mass,1
83,ml,volume,1
83,꼬집,misc,0
83,tbsp,volume,1
83,cup,volume,1
83,tsp,volume,1
84,g,mass,1
84,ml,volume,1
84,꼬집,misc,0
84,tbsp,volume,1
84,cup,volume,1
84,tsp,volume,1
85,g,mass,1
85,ml,volume,1
85,꼬집,misc,0
85,tbsp,volume,1
85,cup,volume,1
85,tsp,volume,1
86,g,mass,1
86,ml,volume,1
86,꼬집,misc,0
86,tbsp,volume,1
86,cup,volume,1
86,tsp,volume,1
87,g,mass,1
87,ml,volume,1
87,꼬집,misc,0
87,tbsp,volume,1
87,cup,volume,1
87,tsp,volume,1
88,g,mass,1
88,ml,volume,1
88,꼬집,misc,0
88,tbsp,volume,1
88,cup,volume,1
88,tsp,volume,1
89,g,mass,1
89,ml,volume,1
89,꼬집,misc,0
89,tbsp,volume,1
89,cup,volume,1
89,tsp,volume,1
90,g,mass,1
90,ml,volume,1
90,꼬집,misc,0
90,tbsp,volume,1
90,cup,volume,1
90,tsp,volume,1
91,g,mass,1
91,ml,volume,1
91,꼬집,misc,0
91,tbsp,volume,1
91,cup,volume,1
91,tsp,volume,1
92,g,mass,1
92,ml,volume,1
92,꼬집,misc,0
92,tbsp,volume,1
92,cup,volume,1
92,tsp,volume,1
93,g,mass,1
93,ml,volume,1
93,꼬집,misc,0
93,tbsp,volume,1
93,cup,volume,1
93,tsp,volume,1
94,g,mass,1
94,ml,volume,1
94,꼬집,misc,0
94,tbsp,volume,1
94,cup,volume,1
94,tsp,volume,1
95,g,mass,1
95,ml,volume,1
95,꼬집,misc,0
95,tbsp,volume,1
95,cup,volume,1
95,tsp,volume,1
96,g,mass,1
96,ml,volume,1
96,꼬집,misc,0
96,tbsp,volume,1
96,cup,volume,1
96,tsp,volume,1
97,g,mass,1
97,ml,volume,1
97,꼬집,misc,0
97,tbsp,volume,1
97,cup,volume,1
97,tsp,volume,1
98,g,mass,1
98,ml,volume,1
98,꼬집,misc,0
98,tbsp,volume,1
98,cup,volume,1
98,tsp,volume,1
99,g,mass,1
99,개,count,1
100,g,mass,1
100,개,count,1
101,g,mass,1
101,개,count,1
102,g,mass,1
102,개,count,1
103,g,mass,1
103,개,count,1
104,g,mass,1
104,개,count,1
105,g,mass,1
105,개,count,1
106,g,mass,1
106,개,count,1
107,g,mass,1
107,개,count,1
108,g,mass,1
108,개,count,1
109,g,mass,1
109,개,count,1
110,g,mass,1
110,개,count,1
111,g,mass,1
111,개,count,1
112,g,mass,1
112,톨,count,0
112,개,count,1
113,g,mass,1
113,개,count,1
113,구,count,0
113,쪽,count,0
114,g,mass,1
114,접,count,0
114,개,count,1
115,g,mass,1
115,개,count,1
116,g,mass,1
116,개,count,1
117,대,count,0
117,g,mass,1
117,단,misc,0
117,개,count,1
117,뿌리,count,0
117,포기,count,0
118,g,mass,1
118,단,misc,0
118,개,count,1
119,g,mass,1
119,개,count,1
120,g,mass,1
120,개,count,1
120,잎,count,0
121,g,mass,1
121,단,misc,0
121,개,count,1
122,g,mass,1
122,단,misc,0
122,개,count,1
123,g,mass,1
123,개,count,1
123,포기,count,0
124,g,mass,1
124,개,count,1
124,포기,count,0
125,g,mass,1
125,개,count,1
125,포기,count,0
126,g,mass,1
126,개,count,1
127,g,mass,1
127,개,count,1
128,g,mass,1
128,개,count,1
